,country,year,emissions,total_emissions
1230,Russian Federation,2007,2032.090283453119,2032090283.4531188
1231,Turkmenistan,2007,96.84919636160001,96849196.36160001
1232,Uzbekistan,2007,142.89943777358528,142899437.7735853
1233,"Iran, Islamic Republic of",2007,655.3923219173637,655392321.9173636
1234,Iraq,2007,136.18173698803776,136181736.98803777
1235,Israel,2007,69.9430366861857,69943036.6861857
1236,Kuwait,2007,92.70180015005351,92701800.15005352
1237,Oman,2007,51.55482209287244,51554822.09287244
1238,Qatar,2007,65.0971566001881,65097156.6001881
1239,Saudi Arabia,2007,457.11401721694085,457114017.2169409
1240,United Arab Emirates,2007,214.65578295448555,214655782.95448554
1241,Algeria,2007,170.0065186235627,170006518.6235627
1242,Egypt,2007,200.63462544333058,200634625.4433306
1243,Morocco,2007,48.8542542979262,48854254.297926195
1244,South Africa,2007,476.5032424812239,476503242.4812239
1245,Australia,2007,450.70176611558117,450701766.11558115
1246,Bangladesh,2007,47.21868597896486,47218685.97896486
1247,China,2007,8174.790095225524,8174790095.225524
1248,China,2007,86.00426795142674,86004267.95142674
1249,India,2007,1494.744290703278,1494744290.703278
1250,Indonesia,2007,476.20210945455267,476202109.45455265
1251,Japan,2007,1317.4953031077832,1317495303.1077833
1252,Malaysia,2007,221.46186470845137,221461864.70845136
1253,New Zealand,2007,38.74449300539338,38744493.00539338
1254,Pakistan,2007,163.4629735347895,163462973.5347895
1255,Philippines,2007,78.1027766808302,78102776.68083021
1256,South Korea,2007,541.3511745405875,541351174.5405875
1257,Taiwan,2007,284.6468268425943,284646826.84259427
1258,Thailand,2007,265.9013144379814,265901314.4379814
1259,Vietnam,2007,107.3926863045443,107392686.3045443
1260,Canada,2008,611.5315372808741,611531537.2808741
1261,Mexico,2008,524.1762497559491,524176249.75594914
1262,US,2008,6028.573257370965,6028573257.370965
1263,Argentina,2008,196.53671049710906,196536710.49710906
1264,Brazil,2008,417.5126115755556,417512611.57555556
1265,Chile,2008,79.4496281145373,79449628.1145373
1266,Colombia,2008,82.01705704275642,82017057.04275642
1267,Ecuador,2008,38.33624172984171,38336241.72984171
1268,Peru,2008,39.30940642430653,39309406.42430653
1269,Trinidad and Tobago,2008,33.70248478704513,33702484.78704513
1270,Venezuela,2008,339.3805033310813,339380503.3310813
1271,Austria,2008,72.08638286028582,72086382.86028582
1272,Belgium,2008,142.16769741645916,142167697.41645917
1273,Bulgaria,2008,63.62152108141957,63621521.08141957
1274,Croatia,2008,23.858223637382963,23858223.63738296
1275,Czech Republic,2008,122.34774044035643,122347740.44035643
1276,Denmark,2008,57.723233094891995,57723233.094891995
1277,Estonia,2008,22.201321238300107,22201321.238300107
1278,France,2008,380.37578132901365,380375781.32901365
1279,Germany,2008,828.4574134389683,828457413.4389683
1280,Greece,2008,113.81886345507318,113818863.45507318
1281,Hungary,2008,55.71030359238096,55710303.59238096
1282,Ireland,2008,49.940575612840114,49940575.612840116
1283,Italy,2008,464.1849323879299,464184932.3879299
1284,Lithuania,2008,13.735407453754405,13735407.453754405
1285,Netherlands,2008,227.9385096376231,227938509.6376231
1286,North Macedonia,2008,12.685037877875878,12685037.877875878
1287,Norway,2008,38.69087776689858,38690877.76689858
